Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
301. Throne of Blood (1957),8.1 Rate this,"Drama, History","Votes: 44,968",110 min,"Director: Akira Kurosawa | Stars: Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura"
302. The Bridge on the River Kwai (1957),"8.1 Rate this
87 Metascore","Adventure, Drama, War","Votes: 198,781 | Gross: $44.91M",161 min,"Director: David Lean | Stars: William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa"
303. On the Waterfront (1954),"8.1 Rate this
91 Metascore","Crime, Drama, Thriller","Votes: 138,614 | Gross: $9.60M",108 min,"Director: Elia Kazan | Stars: Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger"
304. The Wages of Fear (1953),"8.1 Rate this
85 Metascore","Adventure, Drama, Thriller","Votes: 52,983",131 min,"Director: Henri-Georges Clouzot | Stars: Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli"
305. Ace in the Hole (1951),"8.1 Rate this
72 Metascore","Drama, Film-Noir","Votes: 30,563 | Gross: $3.97M",111 min,"Director: Billy Wilder | Stars: Kirk Douglas, Jan Sterling, Robert Arthur, Porter Hall"
306. White Heat (1949),8.1 Rate this,"Action, Crime, Drama","Votes: 28,975",114 min,"Director: Raoul Walsh | Stars: James Cagney, Virginia Mayo, Edmond O'Brien, Margaret Wycherly"
307. The Third Man (1949),"8.1 Rate this
97 Metascore","Film-Noir, Mystery, Thriller","Votes: 155,297 | Gross: $0.45M",93 min,"Director: Carol Reed | Stars: Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard"
308. The Red Shoes (1948),8.1 Rate this,"Drama, Music, Romance","Votes: 29,921 | Gross: $10.90M",135 min,"Directors: Michael Powell, Emeric Pressburger | Stars: Anton Walbrook, Marius Goring, Moira Shearer, Robert Helpmann"
309. The Shop Around the Corner (1940),"8.1 Rate this
96 Metascore","Comedy, Drama, Romance","Votes: 26,840 | Gross: $0.20M",99 min,"Director: Ernst Lubitsch | Stars: Margaret Sullavan, James Stewart, Frank Morgan, Joseph Schildkraut"
310. Rebecca (1940),"8.1 Rate this
86 Metascore","Drama, Mystery, Romance","Votes: 119,368 | Gross: $4.36M",130 min,"Director: Alfred Hitchcock | Stars: Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson"
311. Mr. Smith Goes to Washington (1939),"8.1 Rate this
73 Metascore","Comedy, Drama","Votes: 104,587 | Gross: $9.60M",129 min,"Director: Frank Capra | Stars: James Stewart, Jean Arthur, Claude Rains, Edward Arnold"
312. Gone with the Wind (1939),"8.1 Rate this
97 Metascore","Drama, History, Romance","Votes: 284,117 | Gross: $198.68M",238 min,"Directors: Victor Fleming, George Cukor, Sam Wood | Stars: Clark Gable, Vivien Leigh, Thomas Mitchell, Barbara O'Neil"
313. La Grande Illusion (1937),8.1 Rate this,"Drama, War","Votes: 33,185 | Gross: $0.17M",113 min,"Director: Jean Renoir | Stars: Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim"
314. It Happened One Night (1934),"8.1 Rate this
87 Metascore","Comedy, Romance","Votes: 91,455 | Gross: $4.36M",105 min,"Director: Frank Capra | Stars: Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns"
315. The Passion of Joan of Arc (1928),8.1 Rate this,"Biography, Drama, History","Votes: 45,861 | Gross: $0.02M",114 min,"Director: Carl Theodor Dreyer | Stars: Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz"
316. The Circus (1928),"8.1 Rate this
90 Metascore","Comedy, Romance","Votes: 27,494",72 min,"Director: Charles Chaplin | Stars: Charles Chaplin, Merna Kennedy, Al Ernest Garcia, Harry Crocker"
317. Sunrise (1927),8.1 Rate this,"Drama, Romance","Votes: 46,090 | Gross: $0.54M",94 min,"Director: F.W. Murnau | Stars: George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing"
318. The General (1926),8.1 Rate this,"Action, Adventure, Comedy","Votes: 78,807 | Gross: $1.03M",67 min,"Directors: Clyde Bruckman, Buster Keaton | Stars: Buster Keaton, Marion Mack, Glen Cavender, Jim Farley"
319. The Cabinet of Dr. Caligari (1920),8.1 Rate this,"Fantasy, Horror, Mystery","Votes: 55,631",67 min,"Director: Robert Wiene | Stars: Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover"
320. Shoplifters (2018),"8.0 Rate this
93 Metascore","Crime, Drama","Votes: 56,776 | Gross: $3.31M",121 min,"Director: Hirokazu Koreeda | Stars: Lily Franky, Sakura Andô, Kirin Kiki, Mayu Matsuoka"
321. Badhaai Ho (2018),8.0 Rate this,"Comedy, Drama, Family","Votes: 26,531",124 min,"Director: Amit Ravindernath Sharma | Stars: Ayushmann Khurrana, Neena Gupta, Gajraj Rao, Sanya Malhotra"
322. Marriage Story (2019),"8.0 Rate this
94 Metascore","Comedy, Drama, Romance","Votes: 227,586 | Gross: $2.00M",137 min,"Director: Noah Baumbach | Stars: Adam Driver, Scarlett Johansson, Julia Greer, Azhy Robertson"
323. Togo (2019),"8.0 Rate this
69 Metascore","Adventure, Biography, Drama","Votes: 30,903",113 min,"Director: Ericson Core | Stars: Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer"
324. Airlift (2016),8.0 Rate this,"Drama, History","Votes: 51,945",130 min,"Director: Raja Menon | Stars: Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi"
325. Bajrangi Bhaijaan (2015),8.0 Rate this,"Action, Comedy, Drama","Votes: 70,076 | Gross: $8.18M",163 min,"Director: Kabir Khan | Stars: Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor"
326. Baby (I) (2015),8.0 Rate this,"Action, Thriller","Votes: 51,782",159 min,"Director: Neeraj Pandey | Stars: Akshay Kumar, Danny Denzongpa, Rana Daggubati, Taapsee Pannu"
327. La La Land (2016),"8.0 Rate this
94 Metascore","Comedy, Drama, Music","Votes: 488,387 | Gross: $151.10M",128 min,"Director: Damien Chazelle | Stars: Ryan Gosling, Emma Stone, Rosemarie DeWitt, J.K. Simmons"
328. Lion (2016),"8.0 Rate this
69 Metascore","Biography, Drama","Votes: 206,869 | Gross: $51.74M",118 min,"Director: Garth Davis | Stars: Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar"
329. The Martian (2015),"8.0 Rate this
80 Metascore","Adventure, Drama, Sci-Fi","Votes: 741,073 | Gross: $228.43M",144 min,"Director: Ridley Scott | Stars: Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara"
330. Zootopia (2016),"8.0 Rate this
78 Metascore","Animation, Adventure, Comedy","Votes: 421,395 | Gross: $341.27M",108 min,"Directors: Byron Howard, Rich Moore, Jared Bush | Stars: Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate"
331. The Tale of The Princess Kaguya (2013),"8.0 Rate this
89 Metascore","Animation, Adventure, Drama","Votes: 36,436 | Gross: $1.51M",137 min,"Director: Isao Takahata | Stars: Chloë Grace Moretz, James Caan, Mary Steenburgen, James Marsden"
332. Wonder (I) (2017),"8.0 Rate this
66 Metascore","Drama, Family","Votes: 134,563 | Gross: $132.42M",113 min,"Director: Stephen Chbosky | Stars: Jacob Tremblay, Owen Wilson, Izabela Vidovic, Julia Roberts"
333. Special 26 (2013),8.0 Rate this,"Crime, Drama, Thriller","Votes: 49,708 | Gross: $1.08M",144 min,"Director: Neeraj Pandey | Stars: Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill"
334. Short Term 12 (2013),"8.0 Rate this
82 Metascore",Drama,"Votes: 79,768 | Gross: $1.01M",96 min,"Director: Destin Daniel Cretton | Stars: Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever"
335. The Raid 2 (2014),"8.0 Rate this
71 Metascore","Action, Crime, Thriller","Votes: 112,109 | Gross: $2.63M",150 min,"Director: Gareth Evans | Stars: Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara"
336. The Imitation Game (2014),"8.0 Rate this
73 Metascore","Biography, Drama, Thriller","Votes: 668,332 | Gross: $91.13M",114 min,"Director: Morten Tyldum | Stars: Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech"
337. Guardians of the Galaxy (2014),"8.0 Rate this
76 Metascore","Action, Adventure, Comedy","Votes: 1,023,664 | Gross: $333.18M",121 min,"Director: James Gunn | Stars: Chris Pratt, Vin Diesel, Bradley Cooper, Zoe Saldana"
338. Blade Runner 2049 (2017),"8.0 Rate this
81 Metascore","Action, Drama, Mystery","Votes: 441,180 | Gross: $92.05M",164 min,"Director: Denis Villeneuve | Stars: Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
339. Her (2013),"8.0 Rate this
90 Metascore","Drama, Romance, Sci-Fi","Votes: 524,265 | Gross: $25.57M",126 min,"Director: Spike Jonze | Stars: Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara"
340. Bohemian Rhapsody (2018),"8.0 Rate this
49 Metascore","Biography, Drama, Music","Votes: 433,816 | Gross: $216.43M",134 min,"Director: Bryan Singer | Stars: Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy"
341. The Revenant (2015),"8.0 Rate this
76 Metascore","Action, Adventure, Drama","Votes: 685,268 | Gross: $183.64M",156 min,"Director: Alejandro G. Iñárritu | Stars: Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson"
342. The Perks of Being a Wallflower (2012),"8.0 Rate this
67 Metascore","Drama, Romance","Votes: 451,864 | Gross: $17.74M",103 min,"Director: Stephen Chbosky | Stars: Logan Lerman, Emma Watson, Ezra Miller, Paul Rudd"
343. Elite Squad 2: The Enemy Within (2010),"8.0 Rate this
71 Metascore","Action, Crime, Drama","Votes: 78,185 | Gross: $0.10M",115 min,"Director: José Padilha | Stars: Wagner Moura, Irandhir Santos, André Ramiro, Milhem Cortaz"
344. The King's Speech (2010),"8.0 Rate this
88 Metascore","Biography, Drama, History","Votes: 628,483 | Gross: $138.80M",118 min,"Director: Tom Hooper | Stars: Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi"
345. The Help (2011),"8.0 Rate this
62 Metascore",Drama,"Votes: 419,689 | Gross: $169.71M",146 min,"Director: Tate Taylor | Stars: Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard"
346. Deadpool (2016),"8.0 Rate this
65 Metascore","Action, Adventure, Comedy","Votes: 882,359 | Gross: $363.07M",108 min,"Director: Tim Miller | Stars: Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein"
347. About Elly (2009),"8.0 Rate this
87 Metascore","Drama, Mystery, Thriller","Votes: 43,576 | Gross: $0.11M",119 min,"Director: Asghar Farhadi | Stars: Golshifteh Farahani, Shahab Hosseini, Taraneh Alidoosti, Merila Zare'i"
348. Dev.D (2009),8.0 Rate this,"Drama, Romance","Votes: 28,206 | Gross: $0.01M",144 min,"Director: Anurag Kashyap | Stars: Abhay Deol, Mahie Gill, Kalki Koechlin, Dibyendu Bhattacharya"
349. Ip Man (2008),"8.0 Rate this
59 Metascore","Action, Biography, Drama","Votes: 208,062",106 min,"Director: Wilson Yip | Stars: Donnie Yen, Simon Yam, Siu-Wong Fan, Ka Tung Lam"
350. My Name Is Khan (2010),"8.0 Rate this
50 Metascore",Drama,"Votes: 96,726 | Gross: $4.02M",165 min,"Director: Karan Johar | Stars: Shah Rukh Khan, Kajol, Sheetal Menon, Katie A. Keane"
351. The Breath (2009),8.0 Rate this,"Action, Drama, Thriller","Votes: 31,236",128 min,"Director: Levent Semerci | Stars: Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç"
352. Slumdog Millionaire (2008),"8.0 Rate this
84 Metascore","Drama, Romance","Votes: 786,534 | Gross: $141.32M",120 min,"Directors: Danny Boyle, Loveleen Tandan | Stars: Dev Patel, Freida Pinto, Saurabh Shukla, Anil Kapoor"
353. Black Swan (2010),"8.0 Rate this
79 Metascore","Drama, Thriller","Votes: 686,370 | Gross: $106.95M",108 min,"Director: Darren Aronofsky | Stars: Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder"
354. The Avengers (2012),"8.0 Rate this
69 Metascore","Action, Adventure, Sci-Fi","Votes: 1,241,539 | Gross: $623.28M",143 min,"Director: Joss Whedon | Stars: Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner"
355. Persepolis (2007),"8.0 Rate this
90 Metascore","Animation, Biography, Drama","Votes: 87,048 | Gross: $4.45M",96 min,"Directors: Vincent Paronnaud, Marjane Satrapi | Stars: Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux"
356. Dallas Buyers Club (2013),"8.0 Rate this
80 Metascore","Biography, Drama","Votes: 430,305 | Gross: $27.30M",117 min,"Director: Jean-Marc Vallée | Stars: Matthew McConaughey, Jennifer Garner, Jared Leto, Steve Zahn"
357. The Pursuit of Happyness (2006),"8.0 Rate this
64 Metascore","Biography, Drama","Votes: 437,618 | Gross: $163.57M",117 min,"Director: Gabriele Muccino | Stars: Will Smith, Thandie Newton, Jaden Smith, Brian Howe"
358. Blood Diamond (2006),"8.0 Rate this
64 Metascore","Adventure, Drama, Thriller","Votes: 489,914 | Gross: $57.37M",143 min,"Director: Edward Zwick | Stars: Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers"
359. The Bourne Ultimatum (2007),"8.0 Rate this
85 Metascore","Action, Mystery, Thriller","Votes: 597,714 | Gross: $227.47M",115 min,"Director: Paul Greengrass | Stars: Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles"
360. 3-Iron (2004),"8.0 Rate this
72 Metascore","Crime, Drama, Romance","Votes: 48,861 | Gross: $0.24M",88 min,"Director: Ki-duk Kim | Stars: Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon, Jeong-ho Choi"
361. Sin City (2005),"8.0 Rate this
74 Metascore","Crime, Thriller","Votes: 733,253 | Gross: $74.10M",124 min,"Directors: Frank Miller, Quentin Tarantino, Robert Rodriguez | Stars: Mickey Rourke, Clive Owen, Bruce Willis, Jessica Alba"
362. The Diving Bell and the Butterfly (2007),"8.0 Rate this
92 Metascore","Biography, Drama","Votes: 102,068 | Gross: $5.99M",112 min,"Director: Julian Schnabel | Stars: Mathieu Amalric, Emmanuelle Seigner, Marie-Josée Croze, Anne Consigny"
363. G.O.R.A. (2004),8.0 Rate this,"Adventure, Comedy, Sci-Fi","Votes: 55,152",127 min,"Director: Ömer Faruk Sorak | Stars: Cem Yilmaz, Özge Özberk, Ozan Güven, Safak Sezer"
364. Ratatouille (2007),"8.0 Rate this
96 Metascore","Animation, Adventure, Comedy","Votes: 625,011 | Gross: $206.45M",111 min,"Directors: Brad Bird, Jan Pinkava | Stars: Brad Garrett, Lou Romano, Patton Oswalt, Ian Holm"
365. Before Sunset (2004),"8.0 Rate this
90 Metascore","Drama, Romance","Votes: 228,977 | Gross: $5.82M",80 min,"Director: Richard Linklater | Stars: Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès"
366. Casino Royale (2006),"8.0 Rate this
80 Metascore","Action, Adventure, Thriller","Votes: 570,291 | Gross: $167.45M",144 min,"Director: Martin Campbell | Stars: Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright"
367. Kill Bill: Vol. 2 (2004),"8.0 Rate this
83 Metascore","Action, Crime, Thriller","Votes: 668,468 | Gross: $66.21M",137 min,"Director: Quentin Tarantino | Stars: Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah"
368. The Return (2003),"8.0 Rate this
82 Metascore",Drama,"Votes: 41,363 | Gross: $0.50M",110 min,"Director: Andrey Zvyagintsev | Stars: Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina"
"369. Spring, Summer, Fall, Winter... and Spring (2003)","8.0 Rate this
85 Metascore","Drama, Romance","Votes: 75,638 | Gross: $2.38M",103 min,"Director: Ki-duk Kim | Stars: Ki-duk Kim, Yeong-su Oh, Jong-ho Kim, Young-min Kim"
370. The Sea Inside (I) (2004),"8.0 Rate this
74 Metascore","Biography, Drama","Votes: 76,390 | Gross: $2.09M",126 min,"Director: Alejandro Amenábar | Stars: Javier Bardem, Belén Rueda, Lola Dueñas, Mabel Rivera"
371. Cinderella Man (2005),"8.0 Rate this
69 Metascore","Biography, Drama, History","Votes: 173,549 | Gross: $61.65M",144 min,"Director: Ron Howard | Stars: Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti"
372. Kal ho naa ho (2003),"8.0 Rate this
54 Metascore","Comedy, Drama, Romance","Votes: 62,055 | Gross: $1.79M",186 min,"Director: Nikkhil Advani | Stars: Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bachchan"
373. Infernal Affairs (2002),"8.0 Rate this
75 Metascore","Action, Crime, Drama","Votes: 116,420 | Gross: $0.17M",101 min,"Directors: Andrew Lau, Alan Mak | Stars: Andy Lau, Tony Chiu-Wai Leung, Anthony Chau-Sang Wong, Eric Tsang"
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),"8.0 Rate this
63 Metascore","Action, Adventure, Fantasy","Votes: 1,001,474 | Gross: $305.41M",143 min,"Director: Gore Verbinski | Stars: Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley"
375. Big Fish (2003),"8.0 Rate this
58 Metascore","Adventure, Drama, Fantasy","Votes: 408,522 | Gross: $66.26M",125 min,"Director: Tim Burton | Stars: Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange"
376. The Incredibles (2004),"8.0 Rate this
90 Metascore","Animation, Action, Adventure","Votes: 642,970 | Gross: $261.44M",115 min,"Director: Brad Bird | Stars: Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee"
377. My Sassy Girl (2001),8.0 Rate this,"Comedy, Drama, Romance","Votes: 44,681",137 min,"Director: Jae-young Kwak | Stars: Tae-Hyun Cha, Ji-Hyun Jun, In-mun Kim, Wok-suk Song"
378. Dogville (2003),"8.0 Rate this
60 Metascore","Crime, Drama","Votes: 135,036 | Gross: $1.53M",178 min,"Director: Lars von Trier | Stars: Nicole Kidman, Paul Bettany, Lauren Bacall, Harriet Andersson"
379. Vizontele (2001),8.0 Rate this,"Comedy, Drama","Votes: 32,315",110 min,"Directors: Yilmaz Erdogan, Ömer Faruk Sorak | Stars: Yilmaz Erdogan, Demet Akbag, Altan Erkekli, Cem Yilmaz"
380. Donnie Darko (2001),"8.0 Rate this
88 Metascore","Drama, Mystery, Sci-Fi","Votes: 728,551 | Gross: $1.48M",113 min,"Director: Richard Kelly | Stars: Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne"
"381. Monsters, Inc. (2001)","8.0 Rate this
79 Metascore","Animation, Adventure, Comedy","Votes: 795,251 | Gross: $289.92M",92 min,"Directors: Pete Docter, David Silverman, Lee Unkrich | Stars: Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi"
382. Magnolia (1999),"8.0 Rate this
77 Metascore",Drama,"Votes: 284,781 | Gross: $22.46M",188 min,"Director: Paul Thomas Anderson | Stars: Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman"
383. Dancer in the Dark (2000),"8.0 Rate this
61 Metascore","Crime, Drama, Musical","Votes: 100,125 | Gross: $4.18M",140 min,"Director: Lars von Trier | Stars: Björk, Catherine Deneuve, David Morse, Peter Stormare"
384. Mulholland Drive (2001),"8.0 Rate this
85 Metascore","Drama, Mystery, Thriller","Votes: 313,120 | Gross: $7.22M",147 min,"Director: David Lynch | Stars: Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates"
385. The Straight Story (1999),"8.0 Rate this
86 Metascore","Biography, Drama","Votes: 80,036 | Gross: $6.20M",112 min,"Director: David Lynch | Stars: Richard Farnsworth, Sissy Spacek, Jane Galloway Heitz, Joseph A. Carpenter"
386. Perfect Blue (1997),8.0 Rate this,"Animation, Crime, Mystery","Votes: 54,230 | Gross: $0.78M",81 min,"Director: Satoshi Kon | Stars: Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura"
387. The Celebration (1998),"8.0 Rate this
82 Metascore",Drama,"Votes: 76,428 | Gross: $1.65M",105 min,"Director: Thomas Vinterberg | Stars: Ulrich Thomsen, Henning Moritzen, Thomas Bo Larsen, Paprika Steen"
388. Central Station (1998),"8.0 Rate this
80 Metascore",Drama,"Votes: 35,421 | Gross: $5.60M",110 min,"Director: Walter Salles | Stars: Fernanda Montenegro, Vinícius de Oliveira, Marília Pêra, Soia Lira"
389. The Iron Giant (1999),"8.0 Rate this
85 Metascore","Animation, Action, Adventure","Votes: 168,374 | Gross: $23.16M",86 min,"Director: Brad Bird | Stars: Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel"
390. Knockin' on Heaven's Door (1997),8.0 Rate this,"Action, Crime, Comedy","Votes: 27,041 | Gross: $0.00M",87 min,"Director: Thomas Jahn | Stars: Til Schweiger, Jan Josef Liefers, Thierry van Werveke, Moritz Bleibtreu"
391. Sling Blade (1996),"8.0 Rate this
84 Metascore",Drama,"Votes: 85,737 | Gross: $24.48M",135 min,"Director: Billy Bob Thornton | Stars: Billy Bob Thornton, Dwight Yoakam, J.T. Walsh, John Ritter"
392. Secrets & Lies (1996),"8.0 Rate this
91 Metascore","Comedy, Drama","Votes: 36,501 | Gross: $13.42M",136 min,"Director: Mike Leigh | Stars: Timothy Spall, Brenda Blethyn, Phyllis Logan, Claire Rushbrook"
393. 12 Monkeys (1995),"8.0 Rate this
74 Metascore","Mystery, Sci-Fi, Thriller","Votes: 568,872 | Gross: $57.14M",129 min,"Director: Terry Gilliam | Stars: Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito"
394. Ghost in the Shell (1995),"8.0 Rate this
76 Metascore","Animation, Action, Crime","Votes: 125,610 | Gross: $0.52M",83 min,"Director: Mamoru Oshii | Stars: Atsuko Tanaka, Iemasa Kayumi, Akio Ôtsuka, Kôichi Yamadera"
395. The Nightmare Before Christmas (1993),"8.0 Rate this
82 Metascore","Animation, Family, Fantasy","Votes: 285,348 | Gross: $75.08M",76 min,"Director: Henry Selick | Stars: Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey"
396. Groundhog Day (1993),"8.0 Rate this
72 Metascore","Comedy, Fantasy, Romance","Votes: 569,488 | Gross: $70.91M",101 min,"Director: Harold Ramis | Stars: Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky"
"397. Blood In, Blood Out (1993)","8.0 Rate this
47 Metascore","Crime, Drama","Votes: 28,325 | Gross: $4.50M",180 min,"Director: Taylor Hackford | Stars: Damian Chapa, Jesse Borrego, Benjamin Bratt, Enrique Castillo"
401. Beauty and the Beast (1991),"8.0 Rate this
95 Metascore","Animation, Family, Fantasy","Votes: 410,623 | Gross: $218.97M",84 min,"Directors: Gary Trousdale, Kirk Wise | Stars: Paige O'Hara, Robby Benson, Jesse Corti, Rex Everhart"
402. Dances with Wolves (1990),"8.0 Rate this
72 Metascore","Adventure, Drama, Western","Votes: 235,257 | Gross: $184.21M",181 min,"Director: Kevin Costner | Stars: Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant"
403. Rain Man (1988),"8.0 Rate this
65 Metascore",Drama,"Votes: 465,253 | Gross: $178.80M",133 min,"Director: Barry Levinson | Stars: Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen"
404. Akira (1988),8.0 Rate this,"Animation, Action, Sci-Fi","Votes: 159,655 | Gross: $0.55M",124 min,"Director: Katsuhiro Ôtomo | Stars: Mitsuo Iwata, Nozomu Sasaki, Mami Koyama, Tesshô Genda"
405. Wings of Desire (1987),"8.0 Rate this
79 Metascore","Drama, Fantasy, Romance","Votes: 63,009 | Gross: $3.33M",128 min,"Director: Wim Wenders | Stars: Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois"
406. Au Revoir les Enfants (1987),"8.0 Rate this
88 Metascore","Drama, War","Votes: 30,471 | Gross: $4.54M",104 min,"Director: Louis Malle | Stars: Gaspard Manesse, Raphael Fejtö, Francine Racette, Stanislas Carré de Malberg"
407. Castle in the Sky (1986),"8.0 Rate this
78 Metascore","Animation, Adventure, Drama","Votes: 145,407",125 min,"Director: Hayao Miyazaki | Stars: Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui, Minori Terada"
408. The Terminator (1984),"8.0 Rate this
84 Metascore","Action, Sci-Fi","Votes: 784,674 | Gross: $38.40M",107 min,"Director: James Cameron | Stars: Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield"
409. Gandhi (1982),"8.0 Rate this
79 Metascore","Biography, Drama, History","Votes: 215,266 | Gross: $52.77M",191 min,"Director: Richard Attenborough | Stars: Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth"
410. Kagemusha (1980),"8.0 Rate this
84 Metascore","Drama, History, War","Votes: 31,288",162 min,"Director: Akira Kurosawa | Stars: Tatsuya Nakadai, Tsutomu Yamazaki, Ken'ichi Hagiwara, Jinpachi Nezu"
411. Being There (1979),"8.0 Rate this
83 Metascore","Comedy, Drama","Votes: 64,262 | Gross: $30.18M",130 min,"Director: Hal Ashby | Stars: Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden"
412. Annie Hall (1977),"8.0 Rate this
92 Metascore","Comedy, Romance","Votes: 248,317 | Gross: $39.20M",93 min,"Director: Woody Allen | Stars: Woody Allen, Diane Keaton, Tony Roberts, Carol Kane"
413. All the President's Men (1976),"8.0 Rate this
84 Metascore","Biography, Drama, History","Votes: 99,916 | Gross: $70.60M",138 min,"Director: Alan J. Pakula | Stars: Dustin Hoffman, Robert Redford, Jack Warden, Martin Balsam"
414. Jaws (1975),"8.0 Rate this
87 Metascore","Adventure, Thriller","Votes: 535,948 | Gross: $260.00M",124 min,"Director: Steven Spielberg | Stars: Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary"
415. Dog Day Afternoon (1975),"8.0 Rate this
86 Metascore","Biography, Crime, Drama","Votes: 230,771 | Gross: $50.00M",125 min,"Director: Sidney Lumet | Stars: Al Pacino, John Cazale, Penelope Allen, Sully Boyar"
416. Young Frankenstein (1974),"8.0 Rate this
80 Metascore",Comedy,"Votes: 140,578 | Gross: $86.30M",106 min,"Director: Mel Brooks | Stars: Gene Wilder, Madeline Kahn, Marty Feldman, Peter Boyle"
417. Papillon (1973),"8.0 Rate this
58 Metascore","Biography, Crime, Drama","Votes: 119,489 | Gross: $53.27M",151 min,"Director: Franklin J. Schaffner | Stars: Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon"
418. The Exorcist (1973),"8.0 Rate this
81 Metascore",Horror,"Votes: 354,353 | Gross: $232.91M",122 min,"Director: William Friedkin | Stars: Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb"
419. Sleuth (1972),8.0 Rate this,"Mystery, Thriller","Votes: 44,112 | Gross: $4.08M",138 min,"Director: Joseph L. Mankiewicz | Stars: Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews"
420. The Last Picture Show (1971),"8.0 Rate this
93 Metascore","Drama, Romance","Votes: 41,273 | Gross: $29.13M",118 min,"Director: Peter Bogdanovich | Stars: Timothy Bottoms, Jeff Bridges, Cybill Shepherd, Ben Johnson"
421. Fiddler on the Roof (1971),"8.0 Rate this
67 Metascore","Drama, Family, Musical","Votes: 38,375 | Gross: $80.50M",181 min,"Director: Norman Jewison | Stars: Topol, Norma Crane, Leonard Frey, Molly Picon"
422. The Conformist (1970),"8.0 Rate this
100 Metascore",Drama,"Votes: 26,078 | Gross: $0.54M",113 min,"Director: Bernardo Bertolucci | Stars: Jean-Louis Trintignant, Stefania Sandrelli, Gastone Moschin, Enzo Tarascio"
