Movie Title,Movie Rating,Genre,Box Office,Run Time(min),Stars
27. The Green Mile (1999),"8.6 Rate this
61 Metascore","Crime, Drama, Fantasy","Votes: 1,112,965 | Gross: $136.80M",189 min,"Director: Frank Darabont | Stars: Tom Hanks, Michael Clarke Duncan, David Morse, Bonnie Hunt"
28. Life Is Beautiful (1997),"8.6 Rate this
59 Metascore","Comedy, Drama, Romance","Votes: 605,949 | Gross: $57.60M",116 min,"Director: Roberto Benigni | Stars: Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano"
29. Se7en (1995),"8.6 Rate this
65 Metascore","Crime, Drama, Mystery","Votes: 1,402,704 | Gross: $100.13M",127 min,"Director: David Fincher | Stars: Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker"
30. The Silence of the Lambs (1991),"8.6 Rate this
85 Metascore","Crime, Drama, Thriller","Votes: 1,234,772 | Gross: $130.74M",118 min,"Director: Jonathan Demme | Stars: Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons"
31. Star Wars: Episode IV - A New Hope (1977),"8.6 Rate this
90 Metascore","Action, Adventure, Fantasy","Votes: 1,204,540 | Gross: $322.74M",121 min,"Director: George Lucas | Stars: Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness"
32. Seven Samurai (1954),"8.6 Rate this
98 Metascore","Action, Adventure, Drama","Votes: 308,094 | Gross: $0.27M",207 min,"Director: Akira Kurosawa | Stars: Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki"
33. It's a Wonderful Life (1946),"8.6 Rate this
89 Metascore","Drama, Family, Fantasy","Votes: 388,471",130 min,"Director: Frank Capra | Stars: James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell"
34. Joker (2019),"8.5 Rate this
59 Metascore","Crime, Drama, Thriller","Votes: 856,761 | Gross: $335.45M",122 min,"Director: Todd Phillips | Stars: Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy"
35. Ayla: The Daughter of War (2017),8.5 Rate this,"Biography, Drama, History","Votes: 32,276",125 min,"Director: Can Ulkay | Stars: Çetin Tekindor, Ismail Hacioglu, Kyung-jin Lee, Kim Seol"
36. Whiplash (2014),"8.5 Rate this
88 Metascore","Drama, Music","Votes: 691,116 | Gross: $13.09M",106 min,"Director: Damien Chazelle | Stars: Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser"
37. The Intouchables (2011),"8.5 Rate this
57 Metascore","Biography, Comedy, Drama","Votes: 737,027 | Gross: $13.18M",112 min,"Directors: Olivier Nakache, Éric Toledano | Stars: François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot"
38. The Prestige (2006),"8.5 Rate this
66 Metascore","Drama, Mystery, Sci-Fi","Votes: 1,156,457 | Gross: $53.09M",130 min,"Director: Christopher Nolan | Stars: Christian Bale, Hugh Jackman, Scarlett Johansson, Michael Caine"
39. The Departed (2006),"8.5 Rate this
85 Metascore","Crime, Drama, Thriller","Votes: 1,160,191 | Gross: $132.38M",151 min,"Director: Martin Scorsese | Stars: Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg"
40. The Pianist (2002),"8.5 Rate this
85 Metascore","Biography, Drama, Music","Votes: 708,244 | Gross: $32.57M",150 min,"Director: Roman Polanski | Stars: Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox"
41. Gladiator (2000),"8.5 Rate this
67 Metascore","Action, Adventure, Drama","Votes: 1,308,727 | Gross: $187.71M",155 min,"Director: Ridley Scott | Stars: Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed"
42. American History X (1998),"8.5 Rate this
62 Metascore",Drama,"Votes: 1,014,544 | Gross: $6.72M",119 min,"Director: Tony Kaye | Stars: Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien"
43. The Usual Suspects (1995),"8.5 Rate this
77 Metascore","Crime, Mystery, Thriller","Votes: 969,327 | Gross: $23.34M",106 min,"Director: Bryan Singer | Stars: Kevin Spacey, Gabriel Byrne, Chazz Palminteri, Stephen Baldwin"
44. Léon: The Professional (1994),"8.5 Rate this
64 Metascore","Action, Crime, Drama","Votes: 1,008,050 | Gross: $19.50M",110 min,"Director: Luc Besson | Stars: Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello"
45. The Lion King (1994),"8.5 Rate this
88 Metascore","Animation, Adventure, Drama","Votes: 917,660 | Gross: $422.78M",88 min,"Directors: Roger Allers, Rob Minkoff | Stars: Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg"
46. Terminator 2: Judgment Day (1991),"8.5 Rate this
75 Metascore","Action, Sci-Fi","Votes: 975,356 | Gross: $204.84M",137 min,"Director: James Cameron | Stars: Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick"
47. Cinema Paradiso (1988),"8.5 Rate this
80 Metascore",Drama,"Votes: 223,183 | Gross: $11.99M",155 min,"Director: Giuseppe Tornatore | Stars: Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli"
48. Grave of the Fireflies (1988),"8.5 Rate this
94 Metascore","Animation, Drama, War","Votes: 225,617",89 min,"Director: Isao Takahata | Stars: Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara"
49. Back to the Future (1985),"8.5 Rate this
87 Metascore","Adventure, Comedy, Sci-Fi","Votes: 1,027,852 | Gross: $210.61M",116 min,"Director: Robert Zemeckis | Stars: Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover"
